USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
CO	08009	State Senate District 9	945091510	2892960	364.902	1.117	39.02332	-104.795972                                                                                                                   
CO	08010	State Senate District 10	98810202	62534	38.151	0.024	38.907713	-104.764199                                                                                                                     
CO	08011	State Senate District 11	98435893	292428	38.006	0.113	38.825584	-104.805033                                                                                                                    
CO	08012	State Senate District 12	417561066	1629058	161.221	0.629	38.829868	-104.667729                                                                                                                 
CO	08013	State Senate District 13	881041010	7402938	340.172	2.858	40.254101	-104.782934                                                                                                                 
CO	08014	State Senate District 14	160575133	6415505	61.998	2.477	40.545688	-105.062354                                                                                                                  
CO	08015	State Senate District 15	6461203595	88026256	2494.685	33.987	40.658093	-105.486764                                                                                                             
CO	08016	State Senate District 16	2147176813	14724846	829.03	5.685	39.636246	-105.344674                                                                                                                
CO	08017	State Senate District 17	197554628	5163273	76.276	1.994	40.075709	-105.097208                                                                                                                  
CO	08018	State Senate District 18	1491344524	29995825	575.811	11.581	40.120824	-105.375926                                                                                                              
CO	08019	State Senate District 19	110617300	6146892	42.71	2.373	39.847812	-105.105572                                                                                                                   
CO	08020	State Senate District 20	221504977	7337677	85.524	2.833	39.8742	-105.305151                                                                                                                    
CO	08021	State Senate District 21	275376822	5587232	106.324	2.157	39.848271	-104.859026                                                                                                                 
CO	08022	State Senate District 22	96545281	2081985	37.276	0.804	39.649563	-105.098702                                                                                                                   
CO	08023	State Senate District 23	962315177	25261346	371.552	9.753	40.274945	-104.952191                                                                                                                
CO	08024	State Senate District 24	116989523	2017701	45.17	0.779	39.930509	-104.985295                                                                                                                   
CO	08025	State Senate District 25	2628226509	36842172	1014.764	14.225	39.869414	-104.253892                                                                                                             
CO	08026	State Senate District 26	134113644	6823100	51.782	2.634	39.626287	-104.946064                                                                                                                  
CO	08027	State Senate District 27	106349983	390122	41.062	0.151	39.59127	-104.852447                                                                                                                    
CO	08028	State Senate District 28	109098988	603777	42.123	0.233	39.650087	-104.748782                                                                                                                   
CO	08029	State Senate District 29	1713955484	11676867	661.762	4.508	39.652	-104.233443                                                                                                                  
CO	08030	State Senate District 30	325433757	4080532	125.651	1.576	39.502054	-104.984992                                                                                                                 
CO	08031	State Senate District 31	59038726	24640	22.795	0.01	39.691577	-104.909716                                                                                                                      
CO	08032	State Senate District 32	64941764	365089	25.074	0.141	39.686656	-104.986911                                                                                                                    
CO	08033	State Senate District 33	197637090	210750	76.308	0.081	39.821385	-104.764845                                                                                                                   
CO	08034	State Senate District 34	62910438	981169	24.29	0.379	39.751775	-105.016283                                                                                                                     
CO	08035	State Senate District 35	69380371707	268058732	26787.912	103.498	37.719298	-104.349426                                                                                                         
CT	09001	State Senate District 1	51003649	2871119	19.693	1.109	41.725468	-72.674538                                                                                                                     
CT	09002	State Senate District 2	127862006	4624893	49.368	1.786	41.843638	-72.694948                                                                                                                    
CT	09003	State Senate District 3	239532385	5610408	92.484	2.166	41.854592	-72.563033                                                                                                                    
CT	09004	State Senate District 4	281085712	4498464	108.528	1.737	41.734696	-72.498529                                                                                                                   
CT	09005	State Senate District 5	219262849	4963166	84.658	1.916	41.80202	-73.014683                                                                                                                     
CT	09006	State Senate District 6	113568393	2535088	43.849	0.979	41.644435	-72.780723                                                                                                                    
CT	09007	State Senate District 7	428402184	5997862	165.407	2.316	41.977494	-72.648162                                                                                                                   
CT	09008	State Senate District 8	771055497	23703231	297.706	9.152	41.928463	-73.017383                                                                                                                  
CT	09009	State Senate District 9	168718410	5390297	65.143	2.081	41.616609	-72.66156                                                                                                                     
CT	09010	State Senate District 10	38870626	2102006	15.008	0.812	41.304641	-72.953394                                                                                                                    
CT	09011	State Senate District 11	81401689	3543169	31.429	1.368	41.374515	-72.906075                                                                                                                    
CT	09012	State Senate District 12	468522599	30316811	180.898	11.705	41.343339	-72.682951                                                                                                                
CT	09013	State Senate District 13	188869799	3746850	72.923	1.447	41.525752	-72.78426                                                                                                                    
CT	09014	State Senate District 14	124041782	10965794	47.893	4.234	41.253568	-73.036267                                                                                                                  
CT	09015	State Senate District 15	84404606	1300766	32.589	0.502	41.552107	-73.058281                                                                                                                    
CT	09016	State Senate District 16	232308087	4296716	89.695	1.659	41.581995	-72.932133                                                                                                                   
CT	09017	State Senate District 17	209720436	3884743	80.974	1.5	41.4032	-73.01506                                                                                                                        
CT	09018	State Senate District 18	772164578	80473626	298.134	31.071	41.514103	-71.908372                                                                                                                
CT	09019	State Senate District 19	669752031	19033665	258.593	7.349	41.599017	-72.204682                                                                                                                 
CT	09020	State Senate District 20	477709857	96691044	184.445	37.333	41.395458	-72.211255                                                                                                                
CT	09021	State Senate District 21	179338654	10403591	69.243	4.017	41.295733	-73.155294                                                                                                                  
CT	09022	State Senate District 22	96689387	1878521	37.332	0.725	41.258216	-73.21437                                                                                                                     
CT	09023	State Senate District 23	29962537	7570507	11.569	2.923	41.182757	-73.179874                                                                                                                    
CT	09024	State Senate District 24	227562344	21925173	87.862	8.465	41.468649	-73.477469                                                                                                                  
CT	09025	State Senate District 25	81954758	35007695	31.643	13.517	41.092374	-73.432693                                                                                                                  
CT	09026	State Senate District 26	368873761	39166420	142.423	15.122	41.239543	-73.414366                                                                                                                
CT	09027	State Senate District 27	48286286	63212124	18.643	24.406	41.036644	-73.505953                                                                                                                  
CT	09028	State Senate District 28	327646073	13259788	126.505	5.12	41.300273	-73.293987                                                                                                                  
