GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                    
2560	01577191	Oneida (WI) Off-Reservation Trust Land	91206	0	0.035	0.	44.584732	-88.223311                                                                                                              
2680	02419049	Pascua Pueblo Yaqui Off-Reservation Trust Land	5441989	0	2.101	0.	32.118289	-111.078367                                                                                                   
2695	02419052	Passamaquoddy Trust Land	373284562	15429335	144.126	5.957	44.799093	-67.771075                                                                                                            
2760	00582669	Penobscot Off-Reservation Trust Land	377285032	20006248	145.671	7.724	45.314312	-68.139945                                                                                                
2775	01670201	Picayune Off-Reservation Trust Land	504904	1787	0.195	0.001	37.211072	-119.701735                                                                                                         
2835	02419056	Pit River Trust Land	1086963	522	0.42	0.	40.864465	-121.676677                                                                                                                            
2865	02419057	Poarch Creek Off-Reservation Trust Land	536310	0	0.207	0.	31.098893	-87.563574                                                                                                            
2890	02419058	Pokagon Off-Reservation Trust Land	11112741	189691	4.291	0.073	41.94062	-86.179104                                                                                                        
2900	02419061	Ponca (NE) Trust Land	828880	0	0.32	0.	42.712309	-98.086861                                                                                                                               
2910	01507567	Port Gamble Off-Reservation Trust Land	207938	0	0.08	0.	47.836469	-122.537764                                                                                                             
2985	00654519	Prairie Island Off-Reservation Trust Land	8140873	3282040	3.143	1.267	44.645851	-92.684768                                                                                                
2990	00937193	Pojoaque Off-Reservation Trust Land	693787	0	0.268	0.	35.84955	-105.997375                                                                                                                
3000	01514929	Puyallup Off-Reservation Trust Land	166785	172029	0.064	0.066	47.280702	-122.392421                                                                                                       
3020	00265103	Quartz Valley Off-Reservation Trust Land	420838	15011	0.162	0.006	41.590864	-122.97988                                                                                                    
3085	01577204	Red Cliff Off-Reservation Trust Land	2148234	0	0.829	0.	46.886428	-90.804805                                                                                                              
3130	00853944	Reno-Sparks Off-Reservation Trust Land	96348	0	0.037	0.	39.428525	-119.759259                                                                                                             
3165	00273286	Rincon Off-Reservation Trust Land	2362215	0	0.912	0.	33.26284	-116.935871                                                                                                                 
3195	00234577	Robinson Off-Reservation Trust Land	92040	0	0.036	0.	39.052225	-122.937629                                                                                                                
3205	00767936	Rocky Boy's Off-Reservation Trust Land	215377917	133221	83.158	0.051	48.322586	-109.902401                                                                                                
3235	01266248	Rosebud Off-Reservation Trust Land	1509986950	4247176	583.009	1.64	43.533538	-100.504082                                                                                                  
3250	00267196	Round Valley Off-Reservation Trust Land	63372001	127157	24.468	0.049	39.893949	-123.369055                                                                                                
3280	00463420	Sac and Fox/Meskwaki Off-Reservation Trust Land	946792	0	0.366	0.	41.945628	-92.639991                                                                                                    
3285	00479832	Sac and Fox Nation Off-Reservation Trust Land	1592651	0	0.615	0.	39.716688	-95.739785                                                                                                     
3305	01843172	St. Croix Off-Reservation Trust Land	1482986	112902	0.573	0.044	46.008594	-92.361167                                                                                                      
3415	00918342	San Ildefonso Off-Reservation Trust Land	8710682	0	3.363	0.	35.881322	-106.216567                                                                                                         
3445	00248904	San Manuel Off-Reservation Trust Land	1139012	0	0.44	0.	34.148105	-117.211312                                                                                                             
3495	00937196	Santa Clara Off-Reservation Trust Land	4928032	0	1.903	0.	35.959041	-106.229796                                                                                                           
3635	02419132	Sault Ste. Marie Off-Reservation Trust Land	2788777	0	1.077	0.	46.276212	-84.450514                                                                                                       
3665	02419138	Seminole (FL) Trust Land	7841	0	0.003	0.	26.103962	-80.201888                                                                                                                             
3680	00649741	Shakopee Mdewakanton Sioux Off-Reservation Trust Land	7533657	11383	2.909	0.004	44.762223	-93.44688                                                                                       
3735	00232986	Sherwood Valley Off-Reservation Trust Land	580810	0	0.224	0.	39.401795	-123.305707                                                                                                        
3750	00233021	Shingle Springs Off-Reservation Trust Land	368891	0	0.142	0.	38.679643	-120.912919                                                                                                        
3780	01508317	Shoalwater Bay Off-Reservation Trust Land	927594	0	0.358	0.	46.733557	-124.027298                                                                                                         
3795	01155124	Siletz Off-Reservation Trust Land	3070726	0	1.186	0.	44.811594	-123.994746                                                                                                                
3855	00274833	Smith River Off-Reservation Trust Land	151552	0	0.059	0.	41.952469	-124.201987                                                                                                            
3870	00249635	Soboba Off-Reservation Trust Land	5391953	54533	2.082	0.021	33.785323	-116.851943                                                                                                         
3885	01577206	Sokaogon Chippewa Off-Reservation Trust Land	5587135	25301	2.157	0.01	45.509108	-88.994654                                                                                                
3930	00861680	South Fork Off-Reservation Trust Land	29336928	0	11.327	0.	40.707978	-115.70856                                                                                                           
3940	01511576	Spokane Off-Reservation Trust Land	1323747	0	0.511	0.	47.647826	-117.610138                                                                                                               
3955	01508671	Squaxin Island Off-Reservation Trust Land	2189540	79427	0.845	0.031	47.118526	-123.108315                                                                                                 
3985	00235473	Stewarts Point Off-Reservation Trust Land	2057011	0	0.794	0.	38.651586	-123.326793                                                                                                        
4000	02419481	Stillaguamish Off-Reservation Trust Land	3483121	0	1.345	0.	48.212767	-122.186867                                                                                                         
4015	01577203	Stockbridge Munsee Off-Reservation Trust Land	5677396	27194	2.192	0.01	44.863446	-88.897721                                                                                               
4045	00858261	Summit Lake Off-Reservation Trust Land	1034333	0	0.399	0.	41.508075	-119.100024                                                                                                           
4060	00235836	Susanville Off-Reservation Trust Land	1495466	0	0.577	0.	40.44777	-120.617177                                                                                                             
4075	01528418	Swinomish Off-Reservation Trust Land	304	277	0.	0.	48.389628	-122.498255                                                                                                                  
4090	00273630	Sycuan Off-Reservation Trust Land	6667077	0	2.574	0.	32.781064	-116.853474                                                                                                                
4140	01934342	Taos Off-Reservation Trust Land	3167759	0	1.223	0.	36.422933	-105.59636                                                                                                                   
4170	00937203	Tesuque Off-Reservation Trust Land	1202721	0	0.464	0.	35.804097	-105.830945                                                                                                               
4180	02419492	Timbi-Sha Shoshone Off-Reservation Trust Land	1353586	0	0.523	0.	36.447935	-116.870257                                                                                                    
4200	00023763	Tohono O'odham Nation Off-Reservation Trust Land	159818	0	0.062	0.	32.963786	-112.718679                                                                                                  
4235	00032748	Tonto Apache Off-Reservation Trust Land	1111003	0	0.429	0.	34.221087	-111.320817                                                                                                          
4275	00268407	Trinidad Off-Reservation Trust Land	139583	0	0.054	0.	40.980438	-124.090032                                                                                                               
4290	01511575	Tulalip Off-Reservation Trust Land	107325	0	0.041	0.	48.096906	-122.180551                                                                                                                
4300	00275158	Tule River Off-Reservation Trust Land	206278	0	0.08	0.	36.090759	-118.880501                                                                                                              
4315	02419503	Tunica-Biloxi Off-Reservation Trust Land	1460729	0	0.564	0.	31.101269	-92.052637                                                                                                          
4345	01934334	Turtle Mountain Off-Reservation Trust Land	414308031	14566075	159.965	5.624	48.701881	-104.677973                                                                                         
4375	00250737	Twenty-Nine Palms Off-Reservation Trust Land	204419	0	0.079	0.	33.712289	-116.179707                                                                                                      
4390	01448012	Uintah and Ouray Off-Reservation Trust Land	3305314	33918	1.276	0.013	39.589907	-111.089462                                                                                               
4405	01159100	Umatilla Off-Reservation Trust Land	13860941	35639	5.352	0.014	45.905524	-119.24482                                                                                                       
4445	00653567	Upper Sioux Off-Reservation Trust Land	764361	0	0.295	0.	44.766752	-95.537017                                                                                                             
4455	02419510	Upper Skagit Off-Reservation Trust Land	3141222	0	1.213	0.	48.564536	-122.335435                                                                                                          
4470	00169579	Ute Mountain Off-Reservation Trust Land	30138642	0	11.637	0.	37.723778	-109.662137                                                                                                        
