GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
00913,834840,0,0.322,0.,18.450002,-66.042656
00915,3616961,813351,1.397,0.314,18.437179,-66.045571
00917,3360009,46993,1.297,0.018,18.420674,-66.050105
00918,5516957,101168,2.13,0.039,18.421022,-66.065789
00920,7363190,106881,2.843,0.041,18.414292,-66.088042
00921,6925339,0,2.674,0.,18.392292,-66.088528
00923,5285547,7300,2.041,0.003,18.409029,-66.038586
00924,12146989,1369,4.69,0.001,18.399186,-66.01258
00925,1158082,0,0.447,0.,18.400296,-66.050602
00926,62578790,1047989,24.162,0.405,18.3454,-66.051545
00927,6803686,5830,2.627,0.002,18.388011,-66.072089
00934,1940423,26786,0.749,0.01,18.411313,-66.124234
00936,417954,0,0.161,0.,18.395463,-66.073772
00949,45535083,2112066,17.581,0.815,18.430696,-66.212833
00950,6204979,1989343,2.396,0.768,18.459699,-66.233101
00951,1075640,29541,0.415,0.011,18.42753,-66.253789
00952,3204976,0,1.237,0.,18.427448,-66.182026
00953,69143768,1364967,26.697,0.527,18.360729,-66.251527
00956,68564541,215366,26.473,0.083,18.321137,-66.170419
00957,11967749,1407,4.621,0.001,18.368371,-66.1878
00959,16618009,81793,6.416,0.032,18.385785,-66.155654
00960,2366332,2485,0.914,0.001,18.416641,-66.144555
00961,13404388,168929,5.175,0.065,18.413307,-66.164683
00962,9888764,1121473,3.818,0.433,18.444614,-66.148819
00965,1746399,328905,0.674,0.127,18.433757,-66.114752
00966,8339464,4490,3.22,0.002,18.401521,-66.117597
00968,1185644,0,0.458,0.,18.406085,-66.101232
00969,12646730,39796,4.883,0.015,18.368062,-66.108062
00971,41344862,94185,15.963,0.036,18.318884,-66.11919
00976,43351331,735151,16.738,0.284,18.33618,-65.994101
00979,4047186,504458,1.563,0.195,18.444394,-66.030035
00982,3672330,19112,1.418,0.007,18.411261,-65.992045
00983,8971202,609865,3.464,0.235,18.416737,-65.974862
00985,21068678,747162,8.135,0.288,18.410774,-65.947927
00987,64350358,422661,24.846,0.163,18.338161,-65.941083
01001,29796340,2117032,11.504,0.817,42.062368,-72.625754
01002,142617855,4281800,55.065,1.653,42.364031,-72.458759
01003,1842385,12788,0.711,0.005,42.389698,-72.524009
01005,114638390,666424,44.262,0.257,42.418884,-72.112077
01007,136236050,6944233,52.601,2.681,42.27901,-72.400468
01008,139346412,5108938,53.802,1.973,42.190191,-72.954263
01009,2104351,0,0.812,0.,42.209669,-72.339743
01010,90060194,1415647,34.772,0.547,42.128176,-72.205352
01011,81830551,342669,31.595,0.132,42.290128,-72.966516
01012,33971460,543537,13.116,0.21,42.375425,-72.858192
01013,14587452,1711767,5.632,0.661,42.154903,-72.602804
01020,32439706,1009948,12.525,0.39,42.172611,-72.56192
01022,12360971,2118,4.773,0.001,42.197741,-72.542713
01026,62173902,332330,24.005,0.128,42.465495,-72.918267
01027,104893840,1205218,40.5,0.465,42.295008,-72.751877
01028,33504686,181924,12.936,0.07,42.062378,-72.498111
01029,41050309,5314949,15.85,2.052,42.193395,-73.044647
01030,30610703,484287,11.819,0.187,42.072925,-72.686972
01031,21012724,0,8.113,0.,42.32938,-72.198156
01032,30467676,887486,11.764,0.343,42.457613,-72.81478
01033,72039165,666977,27.814,0.258,42.244949,-72.500143
01034,185539510,5092044,71.637,1.966,42.093912,-72.961103
01035,59785005,3937745,23.083,1.52,42.356491,-72.568632
01036,50453053,88922,19.48,0.034,42.071188,-72.417718
01037,36534057,3961964,14.106,1.53,42.376036,-72.197364
01038,25871790,2249586,9.989,0.869,42.379925,-72.604045
01039,34227577,599161,13.215,0.231,42.404287,-72.688924
01040,54816660,4326346,21.165,1.67,42.211656,-72.642448
01050,99264992,2581156,38.326,0.997,42.286762,-72.869695
01053,13289902,251888,5.131,0.097,42.356301,-72.713584
01054,59026773,425598,22.79,0.164,42.468898,-72.484579
01056,70442550,2946276,27.198,1.138,42.183577,-72.457812
01057,116418495,1463139,44.949,0.565,42.093596,-72.321494
01060,28293565,3250679,10.924,1.255,42.321251,-72.630395
01062,47015771,396836,18.153,0.153,42.323033,-72.701789
01063,100502,0,0.039,0.,42.318882,-72.63853
01066,1842125,117510,0.711,0.045,42.406909,-72.655015
01068,53925831,1033076,20.821,0.399,42.350862,-72.044248
01069,72750828,750819,28.089,0.29,42.188862,-72.30648
01070,53343561,596478,20.596,0.23,42.518446,-72.919017
01071,40310831,813649,15.564,0.314,42.160064,-72.87384
01072,51988078,1360923,20.073,0.525,42.456968,-72.417244
01073,72914119,2084350,28.152,0.805,42.226949,-72.741588
01074,220264,52379,0.085,0.02,42.387603,-72.09323
01075,45886340,1773569,17.717,0.685,42.256532,-72.580248
01077,79831032,2140144,30.823,0.826,42.05257,-72.777353
01079,2913269,116786,1.125,0.045,42.194327,-72.328888
01080,4472227,256694,1.727,0.099,42.185727,-72.361558
01081,37594969,564877,14.515,0.218,42.061313,-72.234411
01082,119462771,16197957,46.125,6.254,42.299749,-72.279164
01083,40799384,156564,15.753,0.06,42.203642,-72.194599
01084,23799816,221546,9.189,0.086,42.39237,-72.882235
01085,154634291,2963577,59.705,1.144,42.153503,-72.771602
01086,96152,0,0.037,0.,42.130446,-72.793967
01088,13457381,36980,5.196,0.014,42.391709,-72.646494
01089,43321911,2081013,16.727,0.803,42.125451,-72.649734
01092,17375638,80681,6.709,0.031,42.191868,-72.235108
01093,13060370,16677,5.043,0.006,42.441943,-72.661817
01094,2957300,172820,1.142,0.067,42.359108,-72.1368
01095,58261406,757163,22.495,0.292,42.138527,-72.420703
01096,82011338,533919,31.665,0.206,42.397138,-72.763554
01097,4852535,208842,1.874,0.081,42.178038,-72.832612
01098,81230325,385282,31.363,0.149,42.394315,-72.943115
