USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
TN	4747073	Hawkins County School District in Rogersville	09	12	9734815	0	3.759	0.	36.40826	-83.004184                                                                                                   
TN	4747077	Henderson County School District in Lexington	09	12	29899888	456947	11.544	0.176	35.660771	-88.394642                                                                                        
TN	4747079	Henry County School District in Paris	09	12	65252176	165437	25.194	0.064	36.298492	-88.324705                                                                                                
TN	4747107	McMinn County School District in Athens	09	12	40165682	297	15.508	0.	35.457744	-84.603753                                                                                                    
TN	4747108	McMinn County School District in Etowah	09	12	7319125	0	2.826	0.	35.338141	-84.5282                                                                                                          
TN	4747123	Monroe County School District in Sweetwater	09	12	163401933	35315	63.09	0.014	35.603028	-84.443767                                                                                           
TN	4747143	Rhea County School District in Dayton	09	12	20191708	613490	7.796	0.237	35.491479	-85.012322                                                                                                 
TN	4747149	Rutherford County School District in Murfreesboro	07	12	146765212	374432	56.666	0.145	35.851659	-86.410726                                                                                   
TN	4747187	Williamson County School District in Franklin	09	12	51978628	343015	20.069	0.132	35.926276	-86.8549                                                                                          
TN	4747189	Wilson County School District in Lebanon	09	12	127447537	10591	49.208	0.004	36.214155	-86.314427                                                                                             
TX	4848143	Stephenville Independent School District (9-12) in Bluff Dale	09	12	180204195	589451	69.577	0.228	32.32756	-98.047832                                                                        
TX	4848285	Hallettsville Independent School District (9-12) in Vysehrad	09	12	81526213	0	31.477	0.	29.438194	-97.025032                                                                                 
TX	4848449	Mount Pleasant Independent School District (9-12) in Winfield	09	12	89310661	4621596	34.483	1.784	33.19664	-95.089034                                                                        
VT	5000006	Essex Community Education Center	09	12	100552794	1278978	38.824	0.494	44.527379	-73.070115                                                                                                   
WI	5505490	Nicolet Union High School District	09	12	41644667	969293	16.079	0.374	43.158282	-87.922342                                                                                                   
WI	5506120	Hartford Union High School District	09	12	463531987	5722235	178.971	2.209	43.302683	-88.404138                                                                                               
WI	5506180	Arrowhead Union High School District	09	12	160802226	14356240	62.086	5.543	43.132583	-88.347232                                                                                              
WI	5507650	Lake Geneva-Genoa City Union High School District	09	12	229880034	2577606	88.757	0.995	42.571329	-88.401189                                                                                  
WI	5509630	Lakeland Union High School District	09	12	1601271887	324136991	618.255	125.15	45.979257	-89.781769                                                                                           
WI	5513290	Westosha Central High School District	09	12	359618760	4314021	138.85	1.666	42.589624	-88.080989                                                                                              
WI	5515150	Union Grove Union High School District	09	12	216416088	708187	83.559	0.273	42.742874	-88.024242                                                                                              
WI	5515480	Big Foot Union High School District	09	12	190146409	282991	73.416	0.109	42.529254	-88.630542                                                                                                 
WI	5515600	Waterford Union High School District	09	12	217024791	6615232	83.794	2.554	42.785928	-88.194274                                                                                               
WI	5516770	Wilmot Union High School District	09	12	113271612	11695670	43.734	4.516	42.524881	-88.210338                                                                                                 
