GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0990,01018039,Eastern Cherokee Reservation,211483424,47477,81.654,0.018,35.440507,-83.384204
1005,00856239,Elko Colony,781013,0,0.302,0.,40.850687,-115.765395
1010,01657318,Elk Valley Rancheria and Off-Reservation Trust Land,1947968,0,0.752,0.,41.760397,-124.148528
1040,00859672,Ely Reservation,14629585,0,5.649,0.,39.1561,-115.013166
1055,00259950,Enterprise Rancheria and Off-Reservation Trust Land,335094,0,0.129,0.,39.561529,-121.354968
1065,00241187,Ewiiaapaayp Reservation,22139262,0,8.548,0.,32.841633,-116.385655
1070,00850495,Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land,441287,0,0.17,0.,39.484478,-118.762708
1075,00840414,Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land,33772528,0,13.04,0.,39.521037,-118.617405
1100,01934365,Flandreau Reservation,8973397,86662,3.465,0.033,44.083963,-96.589693
1110,00806894,Flathead Reservation,5013467050,316267876,1935.711,122.112,47.49677,-114.284279
1125,00654521,Fond du Lac Reservation and Off-Reservation Trust Land,400204469,12670034,154.52,4.892,46.746004,-92.637931
1135,02418936,Forest County Potawatomi Community and Off-Reservation Trust Land,53733727,175499,20.747,0.068,45.459388,-88.618292
1140,00004741,Fort Apache Reservation,6799287819,15508274,2625.22,5.988,33.941472,-110.136137
1150,00767938,Fort Belknap Reservation and Off-Reservation Trust Land,2628432317,9863073,1014.843,3.808,48.20199,-108.630473
1160,01934325,Fort Berthold Reservation,3416489611,682466485,1319.114,263.502,47.769674,-102.296778
1170,00260275,Fort Bidwell Reservation and Off-Reservation Trust Land,14200489,14695,5.483,0.006,41.864077,-120.19318
1185,00399059,Fort Hall Reservation and Off-Reservation Trust Land,2108680182,107357683,814.166,41.451,42.968171,-112.364866
1195,00260277,Fort Independence Reservation,2261362,0,0.873,0.,36.841118,-118.228936
1210,00859740,Fort McDermitt Indian Reservation,140874984,0,54.392,0.,41.955742,-117.658418
1220,00036978,Fort McDowell Yavapai Nation Reservation,99906300,934540,38.574,0.361,33.646163,-111.659895
1235,00024003,Fort Mojave Reservation and Off-Reservation Trust Land,133737320,2789745,51.636,1.077,34.938272,-114.614511
1250,00805884,Fort Peck Indian Reservation and Off-Reservation Trust Land,8517638841,35225904,3288.679,13.601,48.367538,-105.529709
1260,02418940,Fort Pierce Reservation,244942,0,0.095,0.,27.402103,-80.434891
1270,02711352,Fort Sill Apache Indian Reservation,121466,0,0.047,0.,32.241491,-107.421431
1280,00242378,Fort Yuma Indian Reservation,178580595,3609004,68.95,1.393,32.796643,-114.676198
1310,00023998,Gila River Indian Reservation,1510974466,937536,583.391,0.362,33.150891,-111.931496
1340,01455300,Goshute Reservation,486449507,13114,187.819,0.005,39.868969,-114.074069
1355,00654523,Grand Portage Reservation and Off-Reservation Trust Land,192718929,3200852,74.409,1.236,47.965288,-89.737133
1365,02418950,Grand Ronde Community and Off-Reservation Trust Land,46354822,0,17.898,0.,45.141863,-123.640559
1370,02418951,Grand Traverse Reservation and Off-Reservation Trust Land,3358195,0,1.297,0.,45.020534,-85.63091
1380,01666180,Greenville Rancheria,284692,0,0.11,0.,40.148784,-120.893399
1395,00266781,Grindstone Indian Rancheria,326144,22791,0.126,0.009,39.672688,-122.517608
1400,00224709,Guidiville Rancheria and Off-Reservation Trust Land,184931,0,0.071,0.,39.166245,-123.169147
1410,01616983,Hannahville Indian Community and Off-Reservation Trust Land,23675194,0,9.141,0.,45.779431,-87.430832
1440,00045638,Havasupai Reservation,714400025,0,275.831,0.,36.160989,-112.613439
1450,02418963,Ho-Chunk Nation Reservation and Off-Reservation Trust Land,41282921,248854,15.939,0.096,43.976417,-89.822182
1460,01505548,Hoh Indian Reservation and Off-Reservation Trust Land,3524192,12010,1.361,0.005,47.7386,-124.406215
1475,00284183,Hollywood Reservation,1991518,56408,0.769,0.022,26.041869,-80.212038
1490,00251972,Hoopa Valley Reservation,364418755,2369202,140.703,0.915,41.093371,-123.673442
1505,00024001,Hopi Reservation and Off-Reservation Trust Land,6558338499,2407606,2532.189,0.93,35.922349,-110.608367
