USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
NJ	3407110	High Bridge Borough School District	PK	08	6193210	102515	2.391	0.04	40.670111	-74.890212                                                                                                     
NJ	3407200	Highlands Borough School District	PK	06	1917097	1673187	0.74	0.646	40.404229	-73.988186                                                                                                      
NJ	3407260	Hillsdale Borough School District	PK	08	7515267	90775	2.902	0.035	41.007127	-74.045119                                                                                                       
NJ	3407380	Holland Township School District	PK	08	60784407	1296856	23.469	0.501	40.598039	-75.124165                                                                                                    
NJ	3407500	Hopewell Township School District	KG	08	80531238	2544943	31.093	0.983	39.438578	-75.281704                                                                                                   
NJ	3407560	Howell Township School District	PK	08	140135406	2372574	54.107	0.916	40.178108	-74.206225                                                                                                    
NJ	3407710	Island Heights Borough School District	KG	06	1577078	800218	0.609	0.309	39.941804	-74.143842                                                                                                 
NJ	3408010	Kingwood Township School District	PK	08	90664168	1579935	35.006	0.61	40.494704	-75.019461                                                                                                    
NJ	3408070	Knowlton Township School District	KG	06	64031409	1564422	24.723	0.604	40.929261	-75.061796                                                                                                   
NJ	3408130	Lafayette Township School District	PK	08	46317861	225998	17.883	0.087	41.121235	-74.670297                                                                                                   
NJ	3408430	Lebanon Borough School District	PK	08	2336246	821	0.902	0.	40.641862	-74.833312                                                                                                              
NJ	3408460	Lebanon Township School District	PK	08	81392606	658462	31.426	0.254	40.726369	-74.894408                                                                                                     
NJ	3408670	Linwood City School District	PK	08	9871624	1040094	3.811	0.402	39.343718	-74.571049                                                                                                          
NJ	3408700	Little Egg Harbor Township School District	PK	06	122611888	66374681	47.341	25.627	39.63297	-74.331032                                                                                        
NJ	3408730	Little Falls Township School District	PK	08	7243687	188553	2.797	0.073	40.87559	-74.217366                                                                                                   
NJ	3408790	Little Silver Borough School District	PK	08	7024087	1573093	2.712	0.607	40.336952	-74.034535                                                                                                 
NJ	3408910	Long Beach Island School District	PK	06	21479105	47650532	8.293	18.398	39.640067	-74.188729                                                                                                  
NJ	3409150	Lower Township School District	PK	06	70908687	9544709	27.378	3.685	38.983768	-74.911308                                                                                                      
NJ	3409180	Lumberton Township School District	KG	08	33365761	340465	12.883	0.131	39.958855	-74.802478                                                                                                   
NJ	3409300	Magnolia Borough School District	PK	08	2534168	0	0.978	0.	39.856195	-75.036397                                                                                                               
NJ	3409390	Manalapan-Englishtown Regional School District	KG	08	80861528	644615	31.221	0.249	40.282353	-74.346564                                                                                       
NJ	3409510	Mansfield Township School District	KG	06	56289296	404695	21.733	0.156	40.087416	-74.712259                                                                                                   
NJ	3409540	Mansfield Township School District	PK	06	76626864	271678	29.586	0.105	40.808466	-74.91023                                                                                                    
NJ	3409600	Mantua Township School District	PK	06	41448169	223710	16.003	0.086	39.762013	-75.173092                                                                                                      
NJ	3409720	Marlboro Township School District	KG	08	78580273	271982	30.34	0.105	40.342931	-74.257197                                                                                                     
NJ	3409840	Medford Lakes Borough School District	PK	08	2951904	336335	1.14	0.13	39.853649	-74.811665                                                                                                    
NJ	3409870	Medford Township School District	PK	08	100488230	2615709	38.799	1.01	39.864269	-74.82466                                                                                                     
NJ	3409900	Mendham Borough School District	PK	08	15359990	130000	5.931	0.05	40.767487	-74.597219                                                                                                        
NJ	3409930	Mendham Township School District	PK	08	46059244	593903	17.784	0.229	40.761504	-74.565167                                                                                                     
NJ	3410170	Milford Borough School District	PK	08	3062250	228968	1.182	0.088	40.573483	-75.089702                                                                                                        
NJ	3410380	Monmouth Beach Borough School District	PK	08	2698714	2669732	1.042	1.031	40.335895	-73.985608                                                                                                
NJ	3410620	Montvale Borough School District	PK	08	10419918	25132	4.023	0.01	41.054594	-74.047298                                                                                                        
