GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0750,02418877,Colusa Rancheria,1028551,0,0.397,0.,39.253865,-122.024038
0760,01529464,Colville Off-Reservation Trust Land,579829,23757,0.224,0.009,47.883504,-120.134828
0760,01529464,Colville Reservation,5479870584,179044480,2115.79,69.129,48.243911,-118.871907
0770,02418879,Coos, Lower Umpqua, and Siuslaw Off-Reservation Trust Land,494199,6823,0.191,0.003,43.981138,-124.086595
0770,02418879,Coos, Lower Umpqua, and Siuslaw Reservation,82966,2912,0.032,0.001,42.810366,-124.447601
0775,02418881,Coquille Reservation,26108640,102615,10.081,0.04,43.073524,-123.910143
0780,00221603,Cortina Indian Rancheria,3077780,0,1.188,0.,39.018296,-122.290411
0795,00545438,Coushatta Off-Reservation Trust Land,1704711,18952,0.658,0.007,30.544749,-92.816831
0795,00545438,Coushatta Reservation,2983359,0,1.152,0.,30.53211,-92.798727
0815,02418898,Cow Creek Off-Reservation Trust Land,3976920,0,1.535,0.,42.946571,-123.308294
0815,02418898,Cow Creek Reservation,14373535,0,5.55,0.,42.938978,-123.252931
0820,02772245,Cowlitz Reservation,671536,0,0.259,0.,45.851715,-122.70783
0825,01985199,Coyote Valley Reservation,347178,0,0.134,0.,39.254183,-123.208917
0845,00806896,Crow Off-Reservation Trust Land,81288003,388787,31.385,0.15,45.203819,-107.017075
0845,00806896,Crow Reservation,9232390195,29601401,3564.646,11.429,45.398503,-107.712868
0855,01267067,Crow Creek Reservation,1094324660,100590102,422.521,38.838,44.126756,-99.463667
0940,00862214,Dresslerville Colony,3226855,0,1.246,0.,38.903803,-119.71157
0955,00222639,Dry Creek Off-Reservation Trust Land,74568,0,0.029,0.,38.700898,-122.86064
0955,00222639,Dry Creek Rancheria,326069,0,0.126,0.,38.702497,-122.856496
0965,00858264,Duck Valley Reservation,1166983077,5248490,450.575,2.026,41.995269,-116.183786
0975,00845441,Duckwater Reservation,16137153,57666,6.231,0.022,38.927055,-115.70882
0990,01018039,Eastern Cherokee Reservation,211483424,47477,81.654,0.018,35.440507,-83.384204
1005,00856239,Elko Colony,781013,0,0.302,0.,40.850687,-115.765395
1010,01657318,Elk Valley Off-Reservation Trust Land,1586786,0,0.613,0.,41.760397,-124.147357
1010,01657318,Elk Valley Rancheria,361182,0,0.139,0.,41.760326,-124.156507
1040,00859672,Ely Reservation,14629585,0,5.649,0.,39.1561,-115.013166
1055,00259950,Enterprise Off-Reservation Trust Land,166809,0,0.064,0.,39.050707,-121.512795
1055,00259950,Enterprise Rancheria,168285,0,0.065,0.,39.561638,-121.35548
1065,00241187,Ewiiaapaayp Reservation,22139262,0,8.548,0.,32.841633,-116.385655
1070,00850495,Fallon Paiute-Shoshone Colony,234279,0,0.09,0.,39.484796,-118.760693
1070,00850495,Fallon Paiute-Shoshone Off-Reservation Trust Land,207008,0,0.08,0.,39.477243,-118.771338
1075,00840414,Fallon Paiute-Shoshone Off-Reservation Trust Land,646923,0,0.25,0.,39.522863,-118.57948
1075,00840414,Fallon Paiute-Shoshone Reservation,33125605,0,12.79,0.,39.521002,-118.618146
1100,01934365,Flandreau Reservation,8973397,86662,3.465,0.033,44.083963,-96.589693
1110,00806894,Flathead Reservation,5013467050,316267876,1935.711,122.112,47.49677,-114.284279
1125,00654521,Fond du Lac Off-Reservation Trust Land,1406265,13353,0.543,0.005,46.35453,-91.794533
1125,00654521,Fond du Lac Reservation,398798204,12656681,153.977,4.887,46.746004,-92.637931
1135,02418936,Forest County Potawatomi Community,49985758,175489,19.3,0.068,45.492633,-88.620601
1135,02418936,Forest County Potawatomi Off-Reservation Trust Land,3747969,10,1.447,0.,45.466848,-88.659323
1140,00004741,Fort Apache Reservation,6799287819,15508274,2625.22,5.988,33.941472,-110.136137
1150,00767938,Fort Belknap Off-Reservation Trust Land,116801788,341661,45.097,0.132,48.078711,-108.962574
1150,00767938,Fort Belknap Reservation,2511630529,9521412,969.746,3.676,48.20199,-108.630473
1160,01934325,Fort Berthold Reservation,3416489611,682466485,1319.114,263.502,47.769674,-102.296778
1170,00260275,Fort Bidwell Off-Reservation Trust Land,342312,0,0.132,0.,41.846991,-120.176531
1170,00260275,Fort Bidwell Reservation,13858177,14695,5.351,0.006,41.864077,-120.19318
1185,00399059,Fort Hall Off-Reservation Trust Land,1081229,987161,0.417,0.381,42.901439,-111.966199
1185,00399059,Fort Hall Reservation,2107598953,106370522,813.749,41.07,42.968171,-112.364866
1195,00260277,Fort Independence Reservation,2261362,0,0.873,0.,36.841118,-118.228936
1210,00859740,Fort McDermitt Indian Reservation,140874984,0,54.392,0.,41.955742,-117.658418
1220,00036978,Fort McDowell Yavapai Nation Reservation,99906300,934540,38.574,0.361,33.646163,-111.659895
1235,00024003,Fort Mojave Off-Reservation Trust Land,201955,11714,0.078,0.005,34.85194,-114.615825
